id,lkp,bsk5,hsk,soluble_oxygen,ph,roundworms,conformity,price,reservoir_id,research_type_id,data
65,,,,,,0,1,69.0533,87,2,2017-03-24
66,2600,5.95504,11.2716,7.95,,0,1,31.9816,312,3,2011-07-09
67,5100,5.33163,22.3326,8.90153,,0,1,73.1729,549,5,2012-05-22
68,,1.02276,2.1185,4.22797,,0,0,69.56,307,2,2013-06-09
69,2800,4.10085,21.062,,8.62844,0,1,36.7908,998,1,2020-11-04
70,1600,2.15133,10.8421,,6.57727,0,1,23.8873,876,3,2018-08-16
71,2200,4.3883,,,,0,1,21.1948,797,4,2013-05-31
72,2200,3.55467,17.7628,,6.82029,0,1,52.4366,221,3,2014-09-18
73,2900,2.76278,24.5502,,,0,1,13.3515,101,2,2019-03-11
74,1700,3.4686,20.0902,,,0,1,38.7242,179,3,2011-09-23
75,2000,4.29354,26.451,,6.81614,0,1,25.9396,429,1,2017-03-27
76,2600,3.02149,24.4601,,,0,1,63.4846,956,4,2010-02-28
77,4600,3.15189,11.1464,,,0,1,10.5504,403,3,2017-09-19
78,2900,4.43747,13.8265,,,0,1,32.0927,775,3,2015-03-06
79,3000,2.35608,26.2629,7.40204,,0,1,99.2418,948,1,2013-02-03
80,5200,,5.16232,4.13098,,0,1,59.2797,123,5,2014-08-09
81,1400,2.0725,23.5393,,6.064,0,1,61.2707,493,4,2018-08-18
82,4700,2.73678,24.0116,,,0,1,37.5575,1013,4,2017-07-15
83,2100,1.19178,1.66182,5.1099,,0,1,27.9443,1038,1,2013-03-03
84,3400,2.72377,3.30729,9.77251,,0,1,99.0345,470,5,2016-03-30
85,,3.81777,10.2522,,,0,1,49.0437,361,3,2012-02-08
86,4100,3.30026,19.5648,,,0,1,70.1953,1044,2,2013-10-14
87,5500,3.31997,29.0218,,,0,1,20.5833,371,4,2012-12-01
88,4800,5.83488,26.5498,,,0,1,18.3073,8,4,2019-10-13
89,2700,5.55214,14.361,,8.76307,0,1,30.1418,619,2,2015-10-11
90,5900,1.29458,2.5911,3.01612,6.73114,0,1,35.566,837,1,2016-04-27
91,4600,2.21679,3.48528,,8.42299,0,1,93.2549,857,1,2016-08-19
92,2800,4.75952,,5.16973,,0,1,51.3555,774,1,2014-02-18
93,5500,2.208,18.1045,9.2504,,0,1,14.6463,89,3,2013-06-27
94,5400,1.33948,,,8.03742,0,1,80.7675,27,3,2012-08-18
95,4500,1.62505,,,6.46896,0,1,14.8073,1030,3,2012-12-17
96,2000,2.49369,8.80258,3.55773,7.4454,0,1,29.4482,226,2,2020-09-29
97,4300,1.78986,29.6496,,,0,1,63.149,873,4,2018-11-01
98,,5.48848,3.21705,6.62768,,0,1,29.9799,477,4,2012-08-14
99,5900,5.50961,13.596,,,0,1,53.3386,301,3,2020-05-02
100,3700,2.37376,3.90924,6.78624,7.62993,0,1,10.418,1080,4,2012-06-07
101,,5.25763,,,8.67021,0,1,38.6177,127,3,2013-08-08
102,3500,3.05754,3.8882,,,0,1,97.3129,1087,2,2017-07-11
103,5200,,27.7849,5.55156,7.22354,0,1,99.7082,475,2,2014-02-21
104,3700,3.93631,10.5825,4.73959,,0,1,48.3545,369,1,2012-02-07
105,1200,4.27628,2.91311,7.46896,,0,1,96.2825,558,1,2013-05-05
106,1700,4.04305,7.41821,,,0,1,38.6565,1068,5,2019-02-21
107,5800,4.65696,29.1752,4.26966,6.23059,0,1,17.2538,69,3,2010-12-23
108,2500,3.90304,9.26682,,6.95976,0,1,55.8811,168,4,2016-05-27
109,5500,2.38215,16.0758,6.81262,,0,1,47.6885,263,1,2018-05-06
110,2200,4.49631,,7.38854,7.0579,0,1,82.0406,440,2,2012-01-01
111,,4.99998,10.5347,,6.33739,0,1,68.2681,753,1,2010-09-12
112,1200,4.40585,28.6385,4.29243,7.18389,0,1,43.0599,176,5,2017-01-31
113,,2.52839,,,7.38737,0,1,19.9747,138,3,2012-06-10
114,,5.51549,27.494,,,0,1,78.8716,852,4,2013-12-12
115,3100,,22.3174,5.36092,,0,1,55.9368,996,1,2015-11-15
116,5800,5.64611,24.4241,,,0,1,51.0637,319,4,2011-07-05
117,3800,4.89901,17.8472,,,0,1,35.402,985,3,2015-08-13
118,1600,5.71354,23.4405,,,0,1,74.45,652,4,2010-06-18
119,3600,1.27245,7.40501,,,0,1,97.3039,855,2,2015-05-18
120,4800,1.3444,9.08247,7.79523,8.72826,0,1,98.858,1033,2,2013-06-11
121,,5.52425,13.5225,,,0,1,21.3982,942,4,2019-08-24
122,2400,5.56727,3.05414,,,0,1,64.8655,542,2,2013-08-25
123,1400,4.64677,5.99784,3.97958,,0,1,49.4181,689,2,2018-09-14
124,5500,1.12016,15.4325,6.48135,8.39459,0,1,11.2248,162,1,2014-07-10
125,1400,5.77948,3.16156,,8.00153,0,1,30.6324,20,2,2011-12-28
126,5700,5.72818,,4.89725,,0,1,69.8393,23,1,2020-04-27
127,3100,2.88406,19.21,,,0,1,47.7903,132,4,2011-03-25
128,3800,3.39181,1.70961,,,0,1,32.584,75,3,2016-07-24
129,2800,3.1803,14.7219,,,0,1,33.9169,293,3,2019-10-22
130,1100,3.21519,8.9716,,7.13393,0,1,96.4913,204,1,2017-07-13
131,1700,2.13772,29.5274,4.62239,7.83377,0,1,10.3356,84,3,2012-05-15
132,5300,1.97491,18.5767,4.32783,,0,1,80.5705,926,4,2015-02-06
133,,3.50368,22.7376,,,0,1,78.7541,474,3,2015-11-20
134,2400,3.533,9.96019,6.88083,6.74231,0,1,98.8239,826,3,2010-08-29
135,4100,3.64228,24.9006,,,0,1,30.662,1115,2,2011-01-02
136,4500,3.06371,17.8731,5.27644,,0,1,63.9578,122,3,2011-02-08
137,4300,3.09845,13.855,,,0,1,37.8493,846,1,2013-05-25
138,5300,5.01496,21.5508,5.20524,6.86215,0,1,79.5898,695,2,2011-01-25
139,1000,4.80047,8.25818,,8.05972,0,1,12.752,913,3,2012-11-25
140,4800,2.9155,16.0416,,7.32415,0,1,20.3872,55,3,2014-01-03
141,2500,4.68072,16.6804,,,0,1,62.9415,1116,4,2012-10-22
142,3700,5.16081,3.24921,9.45343,,0,1,64.7022,203,2,2017-07-23
143,1500,5.39722,17.1211,,,0,1,70.6188,745,4,2011-06-10
144,2700,1.93782,24.8363,,8.2972,0,1,48.1012,180,1,2013-10-11
145,4600,2.33857,,8.46672,,0,1,67.2979,1131,2,2015-08-17
146,2500,1.55216,22.395,,,0,1,60.195,681,2,2020-08-04
147,,2.88873,17.2315,,,0,1,41.3808,637,3,2011-09-11
148,4100,5.6884,29.7175,,7.94603,0,1,35.7747,238,3,2020-08-01
149,4300,5.24403,20.9263,,,0,1,34.8307,31,2,2017-10-19
150,4800,2.56189,2.52779,7.15664,,0,1,63.7436,569,3,2011-06-16
151,5900,2.44047,,6.81629,,0,1,94.0462,242,2,2015-02-18
152,2700,1.91151,,,,0,1,88.699,222,5,2018-05-16
153,4800,2.22124,5.23236,,8.95406,1,1,32.676,622,1,2018-04-15
154,4500,1.44547,19.9369,,,0,1,54.4806,602,1,2016-11-22
155,,5.96424,14.7439,,,0,1,89.0197,181,3,2013-10-31
156,4500,,10.0447,,,0,1,73.7522,586,1,2020-12-29
157,5000,5.94234,11.6995,3.80607,,0,1,57.8947,1015,4,2019-11-12
158,5500,3.72699,29.7201,,,0,1,98.4834,314,4,2020-08-30
159,2300,5.13747,17.1271,,,0,1,27.7221,350,4,2010-02-11
160,3500,3.27806,,,,0,1,36.4432,535,1,2014-01-23
161,3200,4.20813,,7.92686,8.38211,0,1,90.8661,175,1,2017-11-30
162,4300,2.39222,1.16291,8.9573,8.46682,0,1,84.6698,1042,3,2015-06-17
163,5500,1.65124,8.5982,,,0,1,31.9642,875,1,2017-08-21
164,4100,2.47666,18.4768,,,0,1,51.1972,60,3,2010-10-24
165,5200,,1.72664,8.9281,,0,1,81.705,357,3,2020-09-03
166,5500,1.68785,9.5749,,,0,1,87.6976,828,4,2016-08-22
167,4400,1.24443,9.87292,,,0,1,64.3058,1020,3,2011-03-15
168,4300,,18.1912,,,0,1,21.1508,313,4,2011-10-13
169,1700,3.52139,28.4466,,,0,1,58.2096,856,3,2012-12-11
170,4600,2.49631,29.6478,,6.7187,0,1,91.979,1163,4,2014-10-08
171,5700,1.87285,,7.94149,,0,1,23.2144,1048,4,2019-02-26
172,5500,4.88611,,,6.16044,0,1,55.8122,291,1,2014-07-19
173,4800,3.45178,20.6901,4.17482,,0,1,71.698,740,3,2018-08-08
174,5600,3.54767,23.3382,,,0,1,86.9167,801,4,2011-05-15
175,4700,5.88405,1.5745,,,0,1,45.9165,381,1,2010-08-20
176,2200,1.91307,,,,0,1,56.696,1173,2,2012-02-01
177,4100,4.35695,4.73786,8.62449,,0,1,94.2467,1071,1,2012-03-18
178,4400,2.66368,10.6209,,8.89944,0,1,11.3169,509,2,2014-12-05
179,2500,1.36344,9.46242,3.91304,,0,1,43.9269,78,2,2019-12-10
180,5600,1.17005,3.87326,7.60498,7.96552,0,1,70.4374,339,1,2012-06-10
181,1500,3.70895,,,8.16018,0,1,38.4585,1086,1,2018-08-18
182,5500,4.78159,10.589,,8.98884,0,1,22.0156,894,5,2011-09-09
183,3200,5.22732,,,6.08691,0,1,97.7532,45,2,2019-10-21
184,5400,3.83945,8.39893,,,0,1,70.1734,725,1,2018-05-09
185,2600,3.19566,20.7246,,7.34637,0,1,12.4451,962,5,2012-05-26
186,2500,4.14778,6.83326,,,0,1,21.6365,862,3,2015-01-15
187,4900,1.61841,,,,0,1,57.8945,305,2,2017-11-08
188,4800,1.77472,26.4014,,7.97228,0,1,34.2735,1097,4,2020-01-13
189,2100,1.22621,8.21782,,,0,1,19.8041,645,4,2017-11-14
190,3100,5.75368,13.6028,,,0,1,56.9098,411,1,2011-01-19
191,4100,3.05821,28.201,,,0,1,16.063,439,2,2012-04-13
192,3100,3.56876,3.4441,,,0,1,39.3659,533,1,2013-10-10
193,5700,3.69994,28.2837,,8.47281,0,1,61.8676,345,3,2010-12-15
194,,5.33672,29.1818,,7.69845,0,1,76.3087,378,1,2019-11-18
195,5500,3.96097,10.4895,5.45661,,1,1,29.5211,880,3,2017-02-19
196,4200,2.73691,19.0347,,,0,1,78.2717,325,4,2018-05-24
197,1500,1.59234,15.7835,4.31291,8.02391,0,1,42.738,328,5,2020-12-18
198,4900,1.52328,,,8.35334,0,1,29.4216,686,1,2010-08-17
199,3300,4.02948,,,,0,1,66.3961,1029,1,2014-02-22
200,4400,3.68415,9.532,,6.55321,0,1,79.6002,257,2,2020-01-11
201,5500,4.70937,12.0381,3.08579,,0,1,95.8891,980,4,2019-05-23
202,1400,1.69339,,7.29358,8.20761,0,1,30.23,1196,5,2020-12-15
203,2900,4.81718,10.2401,6.69438,,0,1,77.5651,383,2,2017-08-21
204,2700,5.05585,8.77348,,,0,1,42.8518,1056,1,2013-01-12
205,,2.01588,17.7102,9.5779,,0,1,50.5292,97,1,2013-05-06
206,3700,1.80229,,,6.76481,0,1,48.234,952,2,2010-08-02
207,3900,2.79226,6.25677,,,0,1,27.001,483,3,2020-10-23
208,1100,,4.07408,,,0,1,45.7593,822,2,2016-12-01
209,5800,,7.53153,6.61254,8.07299,0,1,18.564,1072,4,2016-04-05
210,5900,5.01422,7.4667,,,0,1,42.3237,442,1,2011-09-30
211,,2.55642,7.80743,,,0,1,79.5055,790,2,2018-10-14
212,1800,5.99845,15.058,,8.82407,0,1,56.5778,1161,4,2014-12-09
213,3800,3.86429,18.6745,,6.95574,0,1,64.5564,236,4,2010-09-21
214,2200,4.78179,25.1885,4.69574,,0,1,57.2847,11,1,2018-09-19
215,4100,5.6008,,,,0,1,97.9848,149,2,2016-06-23
216,4800,5.77229,2.70491,,,0,1,78.8505,282,1,2016-03-24
217,4700,1.01804,,,,0,1,86.9166,1057,2,2016-09-11
218,2200,1.35588,23.8933,6.37462,,0,1,61.7908,151,1,2020-04-29
219,1800,,29.143,7.89349,6.0874,0,1,48.7521,99,3,2019-06-16
220,2000,4.05073,17.1885,,,0,1,70.0685,495,2,2015-08-21
221,1300,1.36868,21.9069,4.21861,,0,1,39.8031,523,4,2019-10-30
222,5500,5.19657,25.7699,,8.95964,0,1,40.0323,830,1,2012-03-17
223,4100,3.50346,17.0636,,,0,1,11.3467,668,1,2014-12-14
224,2000,1.85824,5.15484,,6.23385,0,1,11.2998,445,1,2011-11-24
225,1700,5.91313,2.64581,5.19349,7.57574,0,1,85.9159,437,2,2012-06-26
226,1900,1.01822,,3.15477,,0,1,83.8485,940,3,2015-05-19
227,3900,3.76772,,,8.68637,0,1,93.9446,946,4,2013-08-05
228,1600,5.4381,20.9748,7.92195,,0,1,95.3893,362,1,2019-10-07
229,2800,4.30409,23.8868,,,0,1,67.3956,921,3,2015-04-11
230,5000,2.18617,20.7257,7.74663,7.98237,0,1,67.6449,57,1,2013-04-14
231,1700,4.11506,22.9451,,,0,1,23.958,412,2,2012-03-01
232,4100,5.58669,24.9953,5.50479,,1,1,74.8251,112,5,2011-08-02
233,2500,4.14714,20.2758,9.50859,,0,1,44.9208,1198,4,2010-10-13
234,,1.32072,28.2825,,8.32169,0,1,64.3267,1208,5,2020-12-14
235,5700,3.83367,11.2912,,,0,1,74.5483,360,3,2014-02-03
236,3200,4.6342,,3.78207,7.90092,0,1,18.2285,1083,4,2018-09-18
237,5300,3.67929,10.6911,,,0,1,44.4505,512,1,2015-02-03
238,5800,2.46068,8.7017,5.89169,,0,1,64.9015,889,1,2016-10-09
239,4600,3.01557,10.4119,,7.67142,0,1,29.6442,629,4,2015-01-04
240,1500,5.96441,14.8643,,7.09883,0,1,64.2111,10,2,2011-10-26
241,1300,1.17147,,,,0,1,94.6355,379,2,2015-04-09
242,4300,2.82357,12.1581,,8.74021,0,1,22.1352,1207,2,2010-12-08
243,2900,2.39337,12.3001,,,0,1,25.7095,653,2,2013-10-10
244,1600,2.35552,21.3344,,,0,1,77.4804,1130,2,2016-02-16
245,2800,2.60419,25.9644,7.73969,,0,1,77.4042,1153,1,2013-04-22
246,4600,5.21831,22.9107,9.96449,,0,1,59.4852,265,3,2018-05-21
247,5200,1.22776,4.20565,9.79697,7.52293,0,1,74.8095,297,1,2013-01-20
248,5100,,29.7992,5.09101,,0,1,14.583,334,3,2013-04-12
249,5300,2.88939,4.05751,9.47104,7.49134,0,1,78.324,229,1,2013-05-28
250,4700,4.27642,1.93223,,8.24783,0,1,50.6705,599,2,2010-11-29
251,1200,3.96796,13.9172,,,0,1,91.3551,375,4,2011-09-12
252,2400,3.92765,21.7753,,,0,1,80.9472,178,4,2010-08-21
253,4700,5.31868,8.72694,,,0,1,80.6695,587,4,2012-03-19
254,5700,3.60509,13.0293,,,0,1,96.3277,329,3,2019-07-21
255,1600,,11.8979,9.96995,,0,1,49.7971,734,2,2010-03-15
256,1300,4.68618,5.30773,,6.20339,0,1,65.8568,1218,1,2017-03-08
257,4700,1.22367,4.30114,4.7455,6.50484,0,1,28.8833,657,4,2016-01-02
258,5500,2.32671,12.0952,6.81274,6.07015,0,1,76.2653,938,1,2015-09-29
259,3800,,8.27495,8.51165,7.06032,0,1,56.9358,720,1,2010-07-19
260,3700,1.52601,14.7196,,8.09237,0,1,66.6807,157,4,2019-01-03
261,1600,2.8259,,,7.17721,0,1,54.2894,7,2,2018-01-13
262,2100,4.79624,,,7.19505,0,1,31.6118,1063,4,2011-01-18
263,1800,1.67517,2.97109,,,0,1,78.3637,901,2,2011-08-24
264,2500,2.04946,11.6287,5.34156,7.30046,0,1,50.9192,164,2,2012-12-23
265,3700,5.61776,7.88619,,,0,1,28.3657,30,1,2020-08-15
266,5400,3.7118,21.0633,,,0,1,14.6805,679,1,2017-03-15
267,1200,5.61612,,8.87113,7.38189,1,1,21.657,1060,4,2014-02-26
268,2800,4.6772,16.3532,,,0,1,10.2298,415,5,2010-10-23
269,1200,5.42753,,,,0,1,82.7364,1118,1,2014-08-17
270,,4.40927,18.0477,6.21372,,0,1,89.7563,1065,1,2018-10-21
271,4500,5.67772,,,6.4223,0,1,44.4,770,2,2011-02-19
272,1300,,24.7651,,8.52872,0,1,32.0151,62,4,2020-12-19
273,3500,1.03061,11.2614,,,0,1,42.1466,522,4,2015-04-26
274,4300,1.14759,,,8.43548,0,1,84.5409,90,2,2017-08-22
275,5100,2.92151,13.7983,,8.80986,0,1,75.433,117,3,2010-05-14
276,3200,4.31162,9.24899,,,0,1,27.6679,40,4,2018-11-22
277,,4.00247,26.1755,,,0,1,24.3228,177,3,2019-06-23
278,4100,1.39147,,5.66794,7.38897,0,1,33.8662,465,4,2019-11-14
279,5800,,27.1163,,,0,1,33.8956,1199,2,2019-08-19
280,4500,3.87926,7.35629,4.44788,6.30895,0,1,36.4307,173,4,2015-02-22
281,5000,4.54511,9.26257,,8.85211,0,1,19.039,644,2,2012-04-28
282,2700,3.8032,11.3241,,6.55934,0,1,89.3616,612,1,2010-04-25
283,2300,2.14794,20.5468,,,0,1,27.0653,134,4,2016-05-12
284,2300,5.25405,12.5932,3.19024,,0,1,26.725,323,1,2014-05-13
285,4700,1.69483,8.80854,,,0,1,76.2897,682,4,2011-08-03
286,2300,5.79046,21.2241,,,0,1,43.0109,235,4,2011-07-13
287,3900,1.87833,28.9962,,,0,1,94.1555,525,1,2020-05-30
288,3200,2.16167,22.5643,8.52296,6.22422,0,1,48.5931,358,1,2012-04-10
289,1800,1.33612,17.2644,5.16844,,0,1,24.5296,88,3,2020-10-02
290,4700,4.25852,2.09733,4.81146,,0,1,18.6915,210,2,2017-12-13
291,1600,4.79638,1.71358,,,0,1,89.3451,406,4,2012-09-17
292,2700,2.98161,8.05762,,,0,1,68.1852,574,2,2020-05-23
293,,5.46097,3.11158,,,0,1,17.9656,1052,3,2016-03-23
294,5100,1.09706,12.9988,,,0,1,62.9635,1171,4,2017-01-16
295,1100,2.50696,10.9157,,,0,1,19.9218,4,5,2014-10-28
296,5800,4.10819,,,,0,1,73.0237,258,4,2014-03-23
297,3100,1.85339,14.0974,,,0,1,43.7715,583,4,2020-05-02
298,3800,3.66444,15.968,,8.12196,0,1,74.7903,1267,1,2010-10-19
299,5000,2.3404,24.9814,7.3288,,0,1,59.1148,174,5,2016-07-18
300,,4.91496,29.196,,,0,1,72.7238,943,2,2017-02-23
301,5900,1.55371,3.41614,,,0,1,47.8282,776,5,2014-03-25
302,1600,5.11178,23.9821,,7.99832,0,1,74.5797,882,4,2012-03-30
303,1200,2.77725,8.44081,,,0,1,31.8466,1157,2,2019-09-12
304,5000,3.67833,4.23566,7.63345,8.29471,0,1,88.5677,142,1,2015-08-23
305,1500,3.17666,5.27189,,8.50718,0,1,16.2705,829,1,2020-10-25
306,4400,1.80903,,7.30293,6.48484,0,1,69.34,1158,4,2011-10-09
307,5500,1.55004,21.2368,,7.5847,0,1,48.8006,656,1,2016-05-12
308,1000,2.85878,5.98118,8.6639,,0,1,96.1286,498,1,2015-08-14
309,1900,4.12883,8.91664,3.5095,,0,1,30.8947,213,1,2019-03-10
310,,,,,,0,1,32.1293,694,3,2012-05-08
311,3200,2.04646,28.1456,,,0,1,51.5339,1059,1,2018-10-01
312,4500,5.61603,,6.07881,,0,1,95.0171,192,1,2017-03-06
313,5200,,22.9442,3.57323,,0,1,52.3696,114,3,2017-02-25
314,2000,2.3162,17.0009,5.93804,6.21308,0,1,30.5051,547,1,2016-06-12
315,2900,3.21362,24.8085,,8.98316,0,1,57.6417,513,4,2016-09-07
316,2100,1.80692,5.75677,4.6228,8.83849,0,1,64.9278,395,3,2017-09-20
317,5500,2.67856,16.8009,,,0,1,14.5465,988,4,2015-09-24
318,1300,4.52352,15.419,,7.08792,0,1,61.6387,579,2,2018-04-28
319,2100,5.37808,29.4644,,,0,1,74.6294,1242,4,2011-05-23
320,4100,3.57185,,,,0,1,85.3548,796,1,2019-02-04
321,4800,4.10141,2.7052,,,0,1,20.5249,154,4,2017-10-31
322,5300,1.88471,,,7.41548,0,1,73.0639,1127,3,2011-11-19
323,4300,1.17113,21.3511,3.65129,,0,1,85.7002,1197,2,2011-02-06
324,2600,4.45608,22.7146,3.0049,6.24754,0,1,74.0448,443,3,2017-09-19
325,2400,3.37567,25.4926,,8.23207,0,1,10.4111,1285,4,2016-02-04
326,4400,2.3576,20.8711,4.21068,,0,1,76.2148,197,4,2011-10-15
327,1500,5.88082,9.27879,,,0,1,24.0494,892,4,2014-09-29
328,3500,3.44593,22.1553,6.42331,,0,1,79.1831,50,1,2019-04-26
329,2200,4.94831,15.7066,,,0,1,74.6192,1058,5,2012-10-25
330,1900,5.58067,10.5313,8.4329,,0,1,12.4092,1037,2,2017-03-08
331,2000,4.52366,7.17261,,6.94987,0,1,83.8963,458,4,2019-08-07
332,,3.0394,14.0057,3.39275,6.20711,0,1,49.5325,1123,4,2018-09-04
333,5900,2.06812,14.2417,5.7328,,0,1,74.7515,292,2,2013-04-28
334,4800,1.64718,6.04894,6.17335,,0,1,61.1719,1302,4,2012-06-26
335,4100,,14.8494,7.64049,,0,1,88.6025,397,4,2010-11-30
336,2400,2.66207,27.164,5.65965,,0,1,44.4593,763,3,2010-01-30
337,1800,2.47651,27.8303,,,0,1,67.515,930,4,2011-08-30
338,2000,3.32555,,,8.77608,0,1,38.4976,1035,4,2010-09-20
339,2500,5.43333,,,,0,1,20.4545,494,5,2014-08-04
340,3300,2.02595,14.2676,9.2219,8.14995,0,1,16.9497,368,5,2020-11-10
341,5400,4.46961,26.9794,,,0,1,94.2103,1318,2,2016-03-17
342,5600,3.0774,24.7002,3.61475,,0,1,98.0269,1094,4,2014-10-18
343,4800,5.8858,13.3742,7.32364,,0,1,27.6985,145,4,2014-02-16
344,1800,5.24042,1.82176,,6.04836,0,1,92.4003,394,2,2018-05-28
345,1200,5.01955,8.08849,,8.13746,0,1,67.1576,1213,4,2020-03-30
346,1500,4.03284,16.2749,,,0,1,94.3281,214,2,2016-07-30
347,1000,5.28966,21.3563,,,0,1,25.8156,460,3,2013-03-28
348,1700,,3.82737,,8.70449,0,1,87.4605,623,1,2020-10-27
349,4600,4.64249,13.3074,4.94888,,0,1,15.3218,961,2,2010-05-12
350,1800,3.48017,1.85055,,,0,1,54.994,609,3,2018-02-23
351,4800,5.76799,29.6201,,,0,1,68.4772,271,4,2019-07-16
352,4100,4.65405,1.26357,5.76516,8.98062,0,1,82.1329,5,1,2012-01-06
353,2800,4.41849,7.28881,8.10088,,0,1,10.1609,6,3,2020-06-14
354,2900,3.98344,25.9568,9.35418,,0,1,73.76,1194,2,2018-06-30
355,1900,4.73011,,,,0,1,62.1988,1211,1,2020-05-10
356,2900,4.28154,21.2567,,,0,1,74.7643,1189,1,2012-05-07
357,1000,5.56303,,7.50349,7.64686,0,1,88.8795,554,3,2011-02-23
