lkp,bsk5,hsk,soluble_oxygen,ph,roundworms,conformity
3400,1.46423,6.65966,,,0,1
5200,,,,,0,1
1100,3.06817,,,,0,1
3400,3.34202,17.7398,5.51104,7.47477,0,1
3300,2.86753,12.4137,7.55441,8.6879,0,1
3300,1.96673,8.77478,,,0,1
1400,,29.7314,,,0,1
,,,,,0,1
2600,5.95504,11.2716,7.95,,0,1
5100,5.33163,22.3326,8.90153,,0,1
,1.02276,2.1185,4.22797,,0,0
2800,4.10085,21.062,,8.62844,0,1
1600,2.15133,10.8421,,6.57727,0,1
2200,4.3883,,,,0,1
2200,3.55467,17.7628,,6.82029,0,1
2900,2.76278,24.5502,,,0,1
1700,3.4686,20.0902,,,0,1
2000,4.29354,26.451,,6.81614,0,1
2600,3.02149,24.4601,,,0,1
4600,3.15189,11.1464,,,0,1
2900,4.43747,13.8265,,,0,1
3000,2.35608,26.2629,7.40204,,0,1
5200,,5.16232,4.13098,,0,1
1400,2.0725,23.5393,,6.064,0,1
4700,2.73678,24.0116,,,0,1
2100,1.19178,1.66182,5.1099,,0,1
3400,2.72377,3.30729,9.77251,,0,1
,3.81777,10.2522,,,0,1
4100,3.30026,19.5648,,,0,1
5500,3.31997,29.0218,,,0,1
4800,5.83488,26.5498,,,0,1
2700,5.55214,14.361,,8.76307,0,1
5900,1.29458,2.5911,3.01612,6.73114,0,1
4600,2.21679,3.48528,,8.42299,0,1
2800,4.75952,,5.16973,,0,1
5500,2.208,18.1045,9.2504,,0,1
5400,1.33948,,,8.03742,0,1
4500,1.62505,,,6.46896,0,1
2000,2.49369,8.80258,3.55773,7.4454,0,1
4300,1.78986,29.6496,,,0,1
,5.48848,3.21705,6.62768,,0,1
5900,5.50961,13.596,,,0,1
3700,2.37376,3.90924,6.78624,7.62993,0,1
,5.25763,,,8.67021,0,1
3500,3.05754,3.8882,,,0,1
5200,,27.7849,5.55156,7.22354,0,1
3700,3.93631,10.5825,4.73959,,0,1
1200,4.27628,2.91311,7.46896,,0,1
1700,4.04305,7.41821,,,0,1
5800,4.65696,29.1752,4.26966,6.23059,0,1
2500,3.90304,9.26682,,6.95976,0,1
5500,2.38215,16.0758,6.81262,,0,1
2200,4.49631,,7.38854,7.0579,0,1
,4.99998,10.5347,,6.33739,0,1
1200,4.40585,28.6385,4.29243,7.18389,0,1
,2.52839,,,7.38737,0,1
,5.51549,27.494,,,0,1
3100,,22.3174,5.36092,,0,1
5800,5.64611,24.4241,,,0,1
3800,4.89901,17.8472,,,0,1
1600,5.71354,23.4405,,,0,1
3600,1.27245,7.40501,,,0,1
4800,1.3444,9.08247,7.79523,8.72826,0,1
,5.52425,13.5225,,,0,1
2400,5.56727,3.05414,,,0,1
1400,4.64677,5.99784,3.97958,,0,1
5500,1.12016,15.4325,6.48135,8.39459,0,1
1400,5.77948,3.16156,,8.00153,0,1
5700,5.72818,,4.89725,,0,1
3100,2.88406,19.21,,,0,1
3800,3.39181,1.70961,,,0,1
2800,3.1803,14.7219,,,0,1
1100,3.21519,8.9716,,7.13393,0,1
1700,2.13772,29.5274,4.62239,7.83377,0,1
5300,1.97491,18.5767,4.32783,,0,1
,3.50368,22.7376,,,0,1
2400,3.533,9.96019,6.88083,6.74231,0,1
4100,3.64228,24.9006,,,0,1
4500,3.06371,17.8731,5.27644,,0,1
4300,3.09845,13.855,,,0,1
5300,5.01496,21.5508,5.20524,6.86215,0,1
1000,4.80047,8.25818,,8.05972,0,1
4800,2.9155,16.0416,,7.32415,0,1
2500,4.68072,16.6804,,,0,1
3700,5.16081,3.24921,9.45343,,0,1
1500,5.39722,17.1211,,,0,1
2700,1.93782,24.8363,,8.2972,0,1
4600,2.33857,,8.46672,,0,1
2500,1.55216,22.395,,,0,1
,2.88873,17.2315,,,0,1
4100,5.6884,29.7175,,7.94603,0,1
4300,5.24403,20.9263,,,0,1
4800,2.56189,2.52779,7.15664,,0,1
5900,2.44047,,6.81629,,0,1
2700,1.91151,,,,0,1
4800,2.22124,5.23236,,8.95406,1,1
4500,1.44547,19.9369,,,0,1
,5.96424,14.7439,,,0,1
4500,,10.0447,,,0,1
5000,5.94234,11.6995,3.80607,,0,1
5500,3.72699,29.7201,,,0,1
2300,5.13747,17.1271,,,0,1
3500,3.27806,,,,0,1
3200,4.20813,,7.92686,8.38211,0,1
4300,2.39222,1.16291,8.9573,8.46682,0,1
5500,1.65124,8.5982,,,0,1
4100,2.47666,18.4768,,,0,1
5200,,1.72664,8.9281,,0,1
5500,1.68785,9.5749,,,0,1
4400,1.24443,9.87292,,,0,1
4300,,18.1912,,,0,1
1700,3.52139,28.4466,,,0,1
4600,2.49631,29.6478,,6.7187,0,1
5700,1.87285,,7.94149,,0,1
5500,4.88611,,,6.16044,0,1
4800,3.45178,20.6901,4.17482,,0,1
5600,3.54767,23.3382,,,0,1
4700,5.88405,1.5745,,,0,1
2200,1.91307,,,,0,1
4100,4.35695,4.73786,8.62449,,0,1
4400,2.66368,10.6209,,8.89944,0,1
2500,1.36344,9.46242,3.91304,,0,1
5600,1.17005,3.87326,7.60498,7.96552,0,1
1500,3.70895,,,8.16018,0,1
5500,4.78159,10.589,,8.98884,0,1
3200,5.22732,,,6.08691,0,1
5400,3.83945,8.39893,,,0,1
2600,3.19566,20.7246,,7.34637,0,1
2500,4.14778,6.83326,,,0,1
4900,1.61841,,,,0,1
4800,1.77472,26.4014,,7.97228,0,1
2100,1.22621,8.21782,,,0,1
3100,5.75368,13.6028,,,0,1
4100,3.05821,28.201,,,0,1
3100,3.56876,3.4441,,,0,1
5700,3.69994,28.2837,,8.47281,0,1
,5.33672,29.1818,,7.69845,0,1
5500,3.96097,10.4895,5.45661,,1,1
4200,2.73691,19.0347,,,0,1
1500,1.59234,15.7835,4.31291,8.02391,0,1
4900,1.52328,,,8.35334,0,1
3300,4.02948,,,,0,1
4400,3.68415,9.532,,6.55321,0,1
5500,4.70937,12.0381,3.08579,,0,1
1400,1.69339,,7.29358,8.20761,0,1
2900,4.81718,10.2401,6.69438,,0,1
2700,5.05585,8.77348,,,0,1
,2.01588,17.7102,9.5779,,0,1
3700,1.80229,,,6.76481,0,1
3900,2.79226,6.25677,,,0,1
1100,,4.07408,,,0,1
5800,,7.53153,6.61254,8.07299,0,1
5900,5.01422,7.4667,,,0,1
,2.55642,7.80743,,,0,1
1800,5.99845,15.058,,8.82407,0,1
3800,3.86429,18.6745,,6.95574,0,1
2200,4.78179,25.1885,4.69574,,0,1
4100,5.6008,,,,0,1
4800,5.77229,2.70491,,,0,1
4700,1.01804,,,,0,1
2200,1.35588,23.8933,6.37462,,0,1
1800,,29.143,7.89349,6.0874,0,1
2000,4.05073,17.1885,,,0,1
1300,1.36868,21.9069,4.21861,,0,1
5500,5.19657,25.7699,,8.95964,0,1
4100,3.50346,17.0636,,,0,1
2000,1.85824,5.15484,,6.23385,0,1
1700,5.91313,2.64581,5.19349,7.57574,0,1
1900,1.01822,,3.15477,,0,1
3900,3.76772,,,8.68637,0,1
1600,5.4381,20.9748,7.92195,,0,1
2800,4.30409,23.8868,,,0,1
5000,2.18617,20.7257,7.74663,7.98237,0,1
1700,4.11506,22.9451,,,0,1
4100,5.58669,24.9953,5.50479,,1,1
2500,4.14714,20.2758,9.50859,,0,1
,1.32072,28.2825,,8.32169,0,1
5700,3.83367,11.2912,,,0,1
3200,4.6342,,3.78207,7.90092,0,1
5300,3.67929,10.6911,,,0,1
5800,2.46068,8.7017,5.89169,,0,1
4600,3.01557,10.4119,,7.67142,0,1
1500,5.96441,14.8643,,7.09883,0,1
1300,1.17147,,,,0,1
4300,2.82357,12.1581,,8.74021,0,1
2900,2.39337,12.3001,,,0,1
1600,2.35552,21.3344,,,0,1
2800,2.60419,25.9644,7.73969,,0,1
4600,5.21831,22.9107,9.96449,,0,1
5200,1.22776,4.20565,9.79697,7.52293,0,1
5100,,29.7992,5.09101,,0,1
5300,2.88939,4.05751,9.47104,7.49134,0,1
4700,4.27642,1.93223,,8.24783,0,1
1200,3.96796,13.9172,,,0,1
2400,3.92765,21.7753,,,0,1
4700,5.31868,8.72694,,,0,1
5700,3.60509,13.0293,,,0,1
1600,,11.8979,9.96995,,0,1
1300,4.68618,5.30773,,6.20339,0,1
4700,1.22367,4.30114,4.7455,6.50484,0,1
5500,2.32671,12.0952,6.81274,6.07015,0,1
3800,,8.27495,8.51165,7.06032,0,1
3700,1.52601,14.7196,,8.09237,0,1
1600,2.8259,,,7.17721,0,1
2100,4.79624,,,7.19505,0,1
1800,1.67517,2.97109,,,0,1
2500,2.04946,11.6287,5.34156,7.30046,0,1
3700,5.61776,7.88619,,,0,1
5400,3.7118,21.0633,,,0,1
1200,5.61612,,8.87113,7.38189,1,1
2800,4.6772,16.3532,,,0,1
1200,5.42753,,,,0,1
,4.40927,18.0477,6.21372,,0,1
4500,5.67772,,,6.4223,0,1
1300,,24.7651,,8.52872,0,1
3500,1.03061,11.2614,,,0,1
4300,1.14759,,,8.43548,0,1
5100,2.92151,13.7983,,8.80986,0,1
3200,4.31162,9.24899,,,0,1
,4.00247,26.1755,,,0,1
4100,1.39147,,5.66794,7.38897,0,1
5800,,27.1163,,,0,1
4500,3.87926,7.35629,4.44788,6.30895,0,1
5000,4.54511,9.26257,,8.85211,0,1
2700,3.8032,11.3241,,6.55934,0,1
2300,2.14794,20.5468,,,0,1
2300,5.25405,12.5932,3.19024,,0,1
4700,1.69483,8.80854,,,0,1
2300,5.79046,21.2241,,,0,1
3900,1.87833,28.9962,,,0,1
3200,2.16167,22.5643,8.52296,6.22422,0,1
1800,1.33612,17.2644,5.16844,,0,1
4700,4.25852,2.09733,4.81146,,0,1
1600,4.79638,1.71358,,,0,1
2700,2.98161,8.05762,,,0,1
,5.46097,3.11158,,,0,1
5100,1.09706,12.9988,,,0,1
1100,2.50696,10.9157,,,0,1
5800,4.10819,,,,0,1
3100,1.85339,14.0974,,,0,1
3800,3.66444,15.968,,8.12196,0,1
5000,2.3404,24.9814,7.3288,,0,1
,4.91496,29.196,,,0,1
5900,1.55371,3.41614,,,0,1
1600,5.11178,23.9821,,7.99832,0,1
1200,2.77725,8.44081,,,0,1
5000,3.67833,4.23566,7.63345,8.29471,0,1
1500,3.17666,5.27189,,8.50718,0,1
4400,1.80903,,7.30293,6.48484,0,1
5500,1.55004,21.2368,,7.5847,0,1
1000,2.85878,5.98118,8.6639,,0,1
1900,4.12883,8.91664,3.5095,,0,1
,,,,,0,1
3200,2.04646,28.1456,,,0,1
4500,5.61603,,6.07881,,0,1
5200,,22.9442,3.57323,,0,1
2000,2.3162,17.0009,5.93804,6.21308,0,1
2900,3.21362,24.8085,,8.98316,0,1
2100,1.80692,5.75677,4.6228,8.83849,0,1
5500,2.67856,16.8009,,,0,1
1300,4.52352,15.419,,7.08792,0,1
2100,5.37808,29.4644,,,0,1
4100,3.57185,,,,0,1
4800,4.10141,2.7052,,,0,1
5300,1.88471,,,7.41548,0,1
4300,1.17113,21.3511,3.65129,,0,1
2600,4.45608,22.7146,3.0049,6.24754,0,1
2400,3.37567,25.4926,,8.23207,0,1
4400,2.3576,20.8711,4.21068,,0,1
1500,5.88082,9.27879,,,0,1
3500,3.44593,22.1553,6.42331,,0,1
2200,4.94831,15.7066,,,0,1
1900,5.58067,10.5313,8.4329,,0,1
2000,4.52366,7.17261,,6.94987,0,1
,3.0394,14.0057,3.39275,6.20711,0,1
5900,2.06812,14.2417,5.7328,,0,1
4800,1.64718,6.04894,6.17335,,0,1
4100,,14.8494,7.64049,,0,1
2400,2.66207,27.164,5.65965,,0,1
1800,2.47651,27.8303,,,0,1
2000,3.32555,,,8.77608,0,1
2500,5.43333,,,,0,1
3300,2.02595,14.2676,9.2219,8.14995,0,1
5400,4.46961,26.9794,,,0,1
5600,3.0774,24.7002,3.61475,,0,1
4800,5.8858,13.3742,7.32364,,0,1
1800,5.24042,1.82176,,6.04836,0,1
1200,5.01955,8.08849,,8.13746,0,1
1500,4.03284,16.2749,,,0,1
1000,5.28966,21.3563,,,0,1
1700,,3.82737,,8.70449,0,1
4600,4.64249,13.3074,4.94888,,0,1
1800,3.48017,1.85055,,,0,1
4800,5.76799,29.6201,,,0,1
4100,4.65405,1.26357,5.76516,8.98062,0,1
2800,4.41849,7.28881,8.10088,,0,1
2900,3.98344,25.9568,9.35418,,0,1
1900,4.73011,,,,0,1
2900,4.28154,21.2567,,,0,1
1000,5.56303,,7.50349,7.64686,0,1
2600,,17.6926,4.67978,,0,1
1600,1.45569,13.5344,,8.76069,0,1
,4.74383,9.21054,,,0,1
2900,3.09763,22.7463,8.55066,,0,1
5900,2.7361,23.2535,,,0,1
4400,1.41965,29.4888,,7.78694,0,1
1700,3.79751,9.32491,,,0,1
3100,5.73073,,3.7456,,0,1
5500,2.86072,24.1374,,7.57775,0,1
2700,1.96937,2.82683,,8.81155,0,1
3500,4.33512,22.7342,,,0,1
4000,2.08944,23.7043,,8.04702,0,1
5700,5.97834,28.0993,,6.25089,0,1
2800,4.96885,8.23117,,,0,1
4200,,21.7395,,,0,1
,5.65413,3.8677,9.96453,,0,1
4100,,14.2962,9.39899,8.17251,0,1
1200,1.7371,25.7802,5.57819,6.93272,0,1
3000,4.48137,19.1706,,,0,1
4300,3.24523,11.5409,,7.59197,0,1
4000,3.49757,,,,0,1
2000,1.90846,8.77733,,7.81932,0,1
1600,1.49445,22.1007,,6.53949,0,1
1100,,3.0448,,,0,1
1500,4.21562,28.6426,3.69333,8.516,0,1
3100,2.64429,24.6167,5.17978,8.40098,0,1
1400,2.15157,6.07617,6.14861,,0,1
4500,1.42324,2.35824,,8.49302,0,1
3400,4.08601,22.6652,8.58876,,0,1
2300,,8.56368,9.07579,,0,1
5200,3.71511,8.42824,,,0,1
2400,,22.5352,,,0,1
2500,3.40065,15.4431,,8.95312,0,1
2500,3.67794,4.24253,,,0,1
3700,1.29426,11.2158,9.45499,,0,1
2400,2.16217,22.7489,6.71816,,0,1
3400,1.54022,26.5491,,,0,1
5100,4.30929,,4.51778,,0,1
2400,3.78658,22.5145,6.533,6.69621,0,1
3000,2.08416,6.63883,,,0,1
5600,2.20638,5.4177,,6.02,0,1
4700,3.73269,5.57681,8.34714,7.48545,0,1
3400,1.22792,14.7788,,6.84725,0,1
1200,,,,,0,1
3400,3.69723,18.6545,,,0,1
5000,1.6063,1.56284,,8.10922,0,1
4200,1.6721,,,7.33872,0,1
3500,3.34666,11.5473,,,0,1
4800,4.02507,9.0876,,,0,1
4400,,14.3842,4.0942,6.10713,0,1
3500,4.27104,18.1757,,8.88498,0,1
4300,1.68444,14.1252,6.80783,,0,1
2000,2.9434,12.0879,7.30097,,0,1
4600,5.31133,10.4397,8.91825,7.13435,0,1
4500,5.67364,17.5543,,7.19023,0,1
1000,3.82604,4.83986,,7.57885,0,1
5200,5.03089,12.093,,8.22837,0,1
3100,1.17268,25.7479,3.43823,,0,1
4500,2.17326,18.1795,5.82097,6.03378,0,1
1900,1.48587,29.156,9.93515,8.23902,0,1
3900,3.82165,15.6478,8.27453,6.26058,0,1
1000,3.78709,14.8918,5.54975,,0,1
5200,2.34741,14.5938,5.86332,,0,1
4100,4.8114,17.6701,,,0,1
5300,3.59225,21.8952,5.94654,6.71464,0,1
3500,2.67438,7.82358,,,0,1
4000,4.65009,1.76123,4.19671,,0,1
4300,3.70454,16.7091,,,0,1
1200,1.39686,10.2916,3.00517,,1,1
,3.0528,8.29108,,6.85485,0,1
3300,2.56646,20.4618,5.68458,,0,1
4400,,17.8835,4.53776,,0,1
3800,5.8072,,,6.2436,0,1
2700,3.7949,15.4822,,6.4751,0,1
1300,3.78015,25.1905,,8.23763,0,1
5300,3.19176,11.3532,,,0,1
5100,,8.6574,3.56302,6.50777,0,1
5700,3.88469,21.3625,,,0,1
5400,4.44775,14.5938,,,0,1
2600,4.00442,26.7622,4.15532,6.92944,0,1
2000,4.25344,20.1228,,,0,1
2500,5.548,21.5378,,6.6733,0,1
4300,2.89126,,,8.53768,1,1
1600,1.23636,21.4975,8.57532,,0,1
2800,4.14779,,8.89345,8.96219,0,1
4000,1.19054,20.555,,,0,0
1400,4.37325,11.2326,7.38738,,1,1
1600,1.46714,17.9005,3.8772,6.81065,0,1
2000,4.47984,18.2331,3.68677,7.90576,0,1
2300,4.77468,11.5774,,,0,1
4100,4.04147,28.1239,3.60592,,0,1
1300,5.5746,,8.63249,,0,1
2600,,20.8739,,,0,1
3200,,18.6954,,,0,1
4900,4.64705,4.35011,,,0,1
1100,1.12157,8.49466,,,0,1
5300,5.98891,23.0363,5.72998,8.49595,0,1
5300,1.05434,23.5929,6.25312,,0,1
1100,1.48764,11.9013,,,0,1
5200,5.99949,8.62271,7.24413,8.59616,0,1
4600,5.73675,22.045,,8.70805,0,1
3100,3.39498,17.7476,,8.71607,0,1
4700,1.14043,13.6816,,7.5489,0,1
1400,4.55354,7.9552,,,0,1
1200,5.04713,17.8933,,,0,1
3900,3.90177,14.8537,,,0,1
1000,1.27524,2.25574,,,0,1
5100,1.29386,1.79652,,,0,1
5900,2.45861,23.9224,7.14404,,0,1
2900,4.46384,1.29218,,,0,1
5900,3.88953,28.6429,,6.71409,0,1
1400,5.16325,16.8974,,,0,1
4500,3.11957,29.0866,,,0,1
,,9.89692,,,0,1
1800,2.78895,13.4773,,,0,1
,5.37829,27.4992,,8.82296,0,1
3800,2.02647,28.9857,7.09757,7.45374,0,1
3000,2.91924,28.0567,,6.02836,0,1
1100,2.62526,8.61821,,6.65201,0,1
4000,4.59461,24.1503,,,0,1
4000,3.58529,24.3368,8.1855,7.85724,0,1
4500,5.6393,4.36127,,,0,1
3000,2.15687,,8.94148,,0,1
2400,1.43815,,7.70412,6.8714,0,1
2100,3.12512,29.7696,7.08175,6.30813,0,1
1900,4.19454,4.66213,8.97649,,0,1
2600,,26.2462,3.85468,,0,1
3100,5.87541,3.6373,,,0,1
5800,5.66307,25.8352,8.95733,,0,1
2700,1.82226,21.5962,3.79991,,0,1
4000,4.40575,,,,0,1
,2.44489,4.94097,,,0,1
2100,5.81829,12.9671,3.43593,8.65356,0,1
4300,3.74056,,,,0,1
5100,,24.8472,,7.90196,0,1
4500,3.29251,21.8894,,,0,1
5900,3.19227,14.2892,,,0,1
,4.14795,3.73047,7.06526,,0,1
3900,2.05277,,8.8588,6.4434,0,1
3800,3.86399,16.6124,8.61552,,0,1
2600,5.6999,4.61495,5.47107,,0,1
3800,1.50087,1.91221,,7.62132,0,1
4600,4.9895,19.807,7.41478,,0,1
1600,5.96112,3.2295,,,0,1
3100,3.85393,7.68411,,,0,1
3800,4.73193,20.2417,,6.46817,0,1
2300,5.9094,19.7585,,,0,1
1200,3.57761,17.3102,6.53567,,0,1
5900,5.31659,17.6083,9.63165,7.02252,0,1
2700,2.65511,19.5902,,,0,1
4500,2.25252,24.68,,8.13873,0,1
5100,1.19631,29.0374,9.49663,,0,1
1000,3.62058,,,,0,1
4700,,11.977,5.17461,,0,1
2000,,6.21802,,,0,1
3400,4.20233,6.85094,,7.6937,0,1
2500,4.36365,9.50895,,,0,1
5300,2.45973,24.9796,3.46404,,0,1
3400,3.90235,15.9747,,,0,1
1000,1.36019,17.7509,,7.33139,0,1
5600,4.57988,,,7.10468,0,1
3500,,14.2859,,8.68464,0,1
5000,2.95683,18.6837,7.051,,0,1
4200,4.01531,17.9779,,8.2724,0,1
3500,1.359,10.0195,8.51277,,0,1
1400,5.17172,11.709,,7.92587,0,1
3700,4.2387,15.256,,6.25538,0,1
1700,5.45298,19.0185,,,0,1
4200,2.88812,10.6595,,,0,1
4600,1.01372,26.8555,8.29968,,0,1
5300,4.64556,11.9552,,8.44535,0,1
2500,1.14897,6.44502,,,0,1
,2.87074,7.75354,,8.76677,0,1
4900,5.9273,3.60821,8.14284,,0,1
,4.641,26.3561,5.62433,,0,1
3700,4.32552,23.2845,,8.3467,0,1
3700,4.16248,9.8624,,7.94777,0,1
5300,3.21934,26.587,,6.88505,0,1
5300,2.12439,10.1787,,,0,1
,,,,,0,1
4000,5.60511,25.8272,9.14563,,0,1
5300,,1.9341,7.46994,,1,1
2100,3.62417,4.90863,,7.29857,0,1
2400,2.78537,5.5783,,,0,1
2700,3.42493,,,,0,1
5000,,17.0511,3.40744,,0,1
5500,1.52875,13.1613,6.20191,8.43296,0,1
3000,5.54751,15.072,8.66848,,0,1
3100,4.87796,2.56623,,,0,1
5400,4.2203,4.59993,6.18828,,0,1
1600,4.41055,14.8582,,,0,1
2000,1.62595,16.3782,,,0,1
5900,1.78517,,,,0,1
3900,4.24256,28.09,,6.61117,0,1
4700,2.45464,4.45818,,,0,1
4800,,29.8675,,,0,1
3200,2.28083,6.91471,,,0,1
5000,5.39016,26.5383,,6.28882,0,1
,2.83208,19.4446,7.18512,,1,1
5400,5.56807,27.9287,,7.4263,0,1
5500,,16.637,,,0,1
2400,5.09594,,,,0,1
1600,,21.8928,8.57684,7.47416,0,1
4600,5.84867,9.09796,5.79111,,0,1
1000,5.34091,17.9735,,,0,1
2400,,18.6656,,6.02995,0,1
2700,2.32915,10.5822,,,0,1
3400,1.7508,22.903,,7.51428,0,1
1100,1.50814,6.35494,,,0,1
4800,1.96581,,4.17696,,0,1
,4.71821,12.1633,,6.21081,0,1
3400,2.26385,12.8366,,,0,1
4200,,,,,0,1
4400,3.42863,,,,0,1
1000,3.44584,22.0718,,6.78528,0,1
3600,2.72781,3.68128,7.36425,6.23222,0,1
4300,3.61152,,,,0,1
2000,,18.6925,6.92183,,0,1
1200,2.87079,26.3556,,,0,1
1700,5.4581,10.264,,6.06263,0,1
3600,1.983,29.3302,,7.99761,0,1
3100,3.23926,29.1524,,,0,1
4400,2.85462,15.0406,,,0,1
4200,1.27819,,,,0,1
3800,4.57482,13.8423,8.24242,,0,1
2100,2.15495,,7.11496,8.3722,0,1
1700,2.42808,9.70761,,6.16697,0,1
2900,4.4678,2.63265,4.02867,8.58407,0,1
5500,2.48104,5.81663,4.8299,7.60581,0,1
5000,1.95142,,,,0,1
4500,5.82814,24.9475,5.58043,,0,1
3600,4.82704,,9.76311,,0,1
2400,2.10295,10.1428,,6.48604,0,1
3900,2.77117,11.6561,,8.05198,0,1
2100,,5.16036,3.71939,,0,1
3200,3.19092,24.2813,4.51006,,0,1
2300,4.86814,28.7655,3.03465,,0,1
3000,3.48058,8.49706,,,0,1
3300,4.09522,6.57749,8.77186,8.06952,0,1
4100,5.07294,1.83883,8.40613,,0,1
4400,5.22958,7.06993,,7.93967,0,1
5200,4.31381,,6.27199,7.67192,0,1
4200,3.87843,7.91153,7.07025,,0,1
3800,5.79525,25.3559,,6.21206,0,1
1200,4.85431,23.2254,,,0,1
,3.11603,5.69421,9.00084,7.16457,0,1
1600,1.81956,2.08079,6.23335,,0,1
2000,4.70672,8.85369,,7.49148,0,1
5000,5.2649,13.2685,,,0,1
1800,3.11888,24.3264,,6.02341,0,1
5300,2.43211,12.6754,4.0785,,0,1
1600,2.49248,11.6962,6.78009,,0,1
1300,1.79903,,,,0,1
2100,4.75515,,3.09304,,0,1
4700,2.32707,1.99798,8.5848,,0,1
2200,3.25956,3.23532,9.88582,6.44367,0,1
3600,5.21538,10.4945,3.79864,8.62302,0,1
5700,5.4262,1.91865,,,0,1
3300,5.11197,26.1657,,,0,1
4200,4.25726,20.0226,5.07979,,0,1
5900,4.41312,18.8261,7.93612,6.45871,0,1
1500,3.66786,5.12798,,6.37762,0,1
5000,,1.71509,,,0,1
1900,2.38087,21.8741,4.50655,,0,1
5300,3.85987,13.696,,,0,1
2500,1.37772,10.737,,7.68697,0,1
5600,1.92266,26.296,3.44724,6.68166,0,1
2200,2.6811,11.8204,,7.70424,0,1
1900,5.86285,26.9453,5.75542,,0,1
2600,2.94704,28.9552,5.13143,,0,1
5500,5.07293,,7.24765,,0,1
3700,4.56049,7.31743,,,0,1
4700,5.96526,14.5052,9.88014,,0,1
4400,4.63259,16.3009,,,0,1
4500,4.53858,,3.28196,,0,1
3600,3.64122,24.1374,5.82441,6.97219,0,1
,2.14428,27.8579,,8.57283,0,1
3900,4.10457,,,,0,1
5900,3.44401,6.58583,4.29411,,0,1
2400,4.00032,11.9978,,,0,1
4000,4.16216,16.0018,3.05052,,0,1
2300,3.75526,25.7697,,,0,1
1300,3.44822,23.3366,9.61383,,0,1
2600,,4.13024,,,0,1
2900,3.16318,5.56977,4.38923,,0,1
2600,2.34892,28.2494,,,0,1
,1.04893,,,6.87517,0,1
3400,,21.2987,,,0,1
5900,5.45894,2.77203,,8.04239,1,1
2400,5.02911,19.5159,5.38167,,0,1
3300,,27.0323,4.14594,,0,1
5100,1.07188,20.9365,,7.61314,0,1
2600,5.77588,4.81865,,,0,1
2300,,22.7122,,,0,1
,5.51161,29.6483,,8.01709,0,1
5700,3.97554,,8.63414,,0,1
1000,5.44194,10.7374,,6.14715,0,1
4300,4.36861,8.99465,,,0,1
1700,5.83797,5.25868,,,0,1
2300,1.65982,,,,0,1
2600,,,,,0,1
2100,2.56171,10.9395,,6.43821,0,1
2900,2.93294,,,,0,1
3600,1.01856,4.36908,,8.50824,0,1
1000,5.41752,5.8624,,,0,1
1000,3.93165,9.96468,4.47057,,0,1
4400,1.43493,23.3739,8.74966,7.92791,0,1
3400,1.95671,27.1746,,,0,1
3900,2.75968,,,,0,1
3500,1.19197,29.0599,,,0,1
4600,4.55839,12.405,,,0,1
